Date;Year;Month;Day;Hour;Central;Unidad;Componente;Generacion_MWh;Tecnologia;Clasificacion;Codigo Central;Subsistema
01/02/2014;2014;2;1;1;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;2;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;3;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;4;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;5;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;6;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;7;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;8;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;9;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;10;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;11;Loma Alta;;;28;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;12;Loma Alta;;;30;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;13;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;14;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;15;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;16;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;17;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;18;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;19;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;20;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;21;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;22;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;23;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;24;Loma Alta;;;31;Hidráulica de Pasada;Convencional;Loma Alta;SIC
01/02/2014;2014;2;1;1;Aconcagua Ujuncal;;;28,8;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;2;Aconcagua Ujuncal;;;28,8;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;3;Aconcagua Ujuncal;;;28,7;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;4;Aconcagua Ujuncal;;;28,6;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;5;Aconcagua Ujuncal;;;28,7;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;6;Aconcagua Ujuncal;;;28,8;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;7;Aconcagua Ujuncal;;;28,7;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;8;Aconcagua Ujuncal;;;28,8;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;9;Aconcagua Ujuncal;;;28,5;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;10;Aconcagua Ujuncal;;;28,5;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;11;Aconcagua Ujuncal;;;28,4;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;12;Aconcagua Ujuncal;;;25,7;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;13;Aconcagua Ujuncal;;;20;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;14;Aconcagua Ujuncal;;;22,3;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;15;Aconcagua Ujuncal;;;24,7;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;16;Aconcagua Ujuncal;;;24,6;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;17;Aconcagua Ujuncal;;;24,3;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;18;Aconcagua Ujuncal;;;24,2;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;19;Aconcagua Ujuncal;;;24,3;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;20;Aconcagua Ujuncal;;;23,8;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;21;Aconcagua Ujuncal;;;22,8;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;22;Aconcagua Ujuncal;;;25,2;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;23;Aconcagua Ujuncal;;;23,4;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;24;Aconcagua Ujuncal;;;22,9;Hidráulica de Pasada;Convencional;Aconcagua;SIC
01/02/2014;2014;2;1;1;Los Morros;;;1,7;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;2;Los Morros;;;1,7;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;3;Los Morros;;;1,8;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;4;Los Morros;;;1,9;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;5;Los Morros;;;1,9;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;6;Los Morros;;;2;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;7;Los Morros;;;1,8;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;8;Los Morros;;;1,9;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;9;Los Morros;;;1,8;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;10;Los Morros;;;1,9;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;11;Los Morros;;;1,9;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;12;Los Morros;;;2,5;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;13;Los Morros;;;2,5;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;14;Los Morros;;;2,2;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;15;Los Morros;;;1,6;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;16;Los Morros;;;1,8;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;17;Los Morros;;;2,2;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;18;Los Morros;;;1,6;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;19;Los Morros;;;1,8;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;20;Los Morros;;;1,8;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;21;Los Morros;;;1,8;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;22;Los Morros;;;1,8;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;23;Los Morros;;;1,4;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;24;Los Morros;;;1,4;Mini Hidráulica de Pasada;ERNC;Los Morros;SIC
01/02/2014;2014;2;1;1;Los Quilos;;;31,7;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;2;Los Quilos;;;31,6;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;3;Los Quilos;;;33,1;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;4;Los Quilos;;;33;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;5;Los Quilos;;;33,4;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;6;Los Quilos;;;33,5;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;7;Los Quilos;;;33,5;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;8;Los Quilos;;;34;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;9;Los Quilos;;;33;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;10;Los Quilos;;;33,6;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;11;Los Quilos;;;32,7;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;12;Los Quilos;;;29,6;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;13;Los Quilos;;;33,2;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;14;Los Quilos;;;33,1;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;15;Los Quilos;;;32,6;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;16;Los Quilos;;;33,2;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;17;Los Quilos;;;32,6;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;18;Los Quilos;;;33;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;19;Los Quilos;;;33,5;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;20;Los Quilos;;;34;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;21;Los Quilos;;;32,2;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;22;Los Quilos;;;33,6;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;23;Los Quilos;;;33,2;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;24;Los Quilos;;;32,9;Hidráulica de Pasada;Convencional;Los Quilos;SIC
01/02/2014;2014;2;1;1;Florida;;;15;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;2;Florida;;;18;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;3;Florida;;;20;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;4;Florida;;;19;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;5;Florida;;;19;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;6;Florida;;;18;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;7;Florida;;;19;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;8;Florida;;;17;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;9;Florida;;;16;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;10;Florida;;;15;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;11;Florida;;;12;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;12;Florida;;;15;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;13;Florida;;;12;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;14;Florida;;;11;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;15;Florida;;;11;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;16;Florida;;;10;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;17;Florida;;;8;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;18;Florida;;;9;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;19;Florida;;;10;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;20;Florida;;;11;Hidráulica de Pasada;Convencional;FLORIDA;SIC
01/02/2014;2014;2;1;21;Florida;;;9;Hidráulica de Pasada;Convencional;FLORIDA;SIC
